GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.01 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.02 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.03 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.03 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.03 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.03 || QUAT: (array([0., 0., 0., 1.]), 3)
